I1,I3,I4,I5,I6,I7,I8,I10,Durable_Solutions,DS,DS_perc
I1_sec_inc,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3461.2598865413765,0.19095704552339002
I1_sec_rep,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,8106.941636054938,0.4472584185518953
I1_SDG_16.1.4,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,3507.9636137343336,0.19353368121445022
I1_sec_day,I3_no_borrow,I4_hous_permanent,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,8135.9581920375085,0.4488592563922553
I1_sec_night,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,1878.6022240437712,0.10364212517296043
I1_sec_inc,I3_no_borrow,I4_hous_permanent,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,8278.087841536255,0.4567005219542804
I1_sec_rep,I3_pay_food,I4_hous_permanent,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_doc_birth,,6219.171984348586,0.34311052814925574
I1_sec_night,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,2859.2084966977573,0.1577419855665179
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,3652.6524872370087,0.20151613867498683
I1_sec_rep,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,6018.15212057041,0.33202030073586386
I1_sec_night,I3_DS_2.1.2,I4_hous_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,2085.31334493009,0.1150463381518138
I1_sec_day,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,4421.446934016174,0.24393038117164992
I1_sec_night,I3_pay_food,I4_hous_ownership,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,1477.8861387811933,0.08153469543820507
I1_sec_night,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,2849.823644282129,0.15722422505482392
I1_sec_day,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,4844.619641149905,0.26727673843728084
I1_sec_day,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor32,I10_doc_birth,,3870.5005641884077,0.21353477538855622
I1_sec_inc,I3_DS_2.1.2,I4_hous_permanent,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,5027.99123276089,0.2773933140527411
I1_sec_night,I3_DS_2.1.2,I4_hous_overcrowd,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,2503.099985458759,0.1380955471536307
I1_sec_rep,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_poor32,I10_doc_birth,,3523.443030017176,0.19438767764831866
I1_sec_rep,I3_DS_2.1.2,I4_hous_water,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,3266.8601503436585,0.18023204928164974
I1_sec_night,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,2827.093343173615,0.1559701986928
I1_sec_inc,I3_pay_food,I4_hous_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,5350.208118859691,0.2951699579928344
I1_sec_rep,I3_pay_food,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,4616.571136543825,0.254695346082164
I1_SDG_16.1.4,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,4272.169853993297,0.23569479323548628
I1_sec_rep,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,3270.958497864129,0.18045815433001094
I1_sec_rep,I3_no_borrow,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,5569.226687880956,0.30725317052988915
I1_sec_inc,I3_pay_food,I4_SDG_11.1.1,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_poor32,I10_doc_birth,,6911.886166463118,0.381327437004638
I1_sec_rep,I3_no_borrow,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_account,I10_doc_birth,,6036.722644528035,0.33304483298857285
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,2396.9871228986735,0.1322413208341066
I1_SDG_16.1.4,I3_pay_food,I4_hous_toilet,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,4717.658658291043,0.26027232531079364
I1_sec_inc,I3_no_borrow,I4_hous_overcrowd,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,7752.077320462376,0.4276806221747074
I1_SDG_16.1.4,I3_pay_food,I4_SDG_11.1.1,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_poor32,I10_doc_birth,,7192.212683568178,0.3967929973043397
I1_sec_day,I3_pay_food,I4_SDG_11.1.1,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,6438.790717421589,0.35522685162218526
I1_sec_night,I3_pay_food,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_DS_5.1.1,,3297.6187435198603,0.18192899498059073
I1_sec_inc,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3678.343759190843,0.20293352123187547
I1_sec_day,I3_DS_2.1.2,I4_hous_permanent,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,5193.47553509218,0.28652305134191614
I1_sec_day,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_doc_birth,,3883.2449267584834,0.21423787943252687
I1_sec_night,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,2618.1121681404943,0.14444074726111128
I1_sec_rep,I3_no_borrow,I4_hous_permanent,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,7666.616638595403,0.42296577271160096
I1_sec_inc,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_account,I10_doc_birth,,9312.462698747684,0.513766784867622
I1_sec_rep,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,3365.8724801407147,0.18569454056753987
I1_sec_rep,I3_DS_2.1.2,I4_hous_toilet,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_account,I10_doc_birth,,3252.3729130251695,0.1794327911713611
I1_sec_night,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_poor32,I10_doc_birth,,5761.775727913338,0.3178760642183747
I1_sec_rep,I3_DS_2.1.2,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,3094.8000279790053,0.17073952525971672
I1_sec_inc,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_doc_birth,,8769.618716909657,0.4838181862792844
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,4515.03958164949,0.24909386962978713
I1_sec_night,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,2376.426641276862,0.13110700299790326
I1_sec_inc,I3_no_borrow,I4_hous_overcrowd,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,9427.378347409996,0.5201066592117256
I1_sec_inc,I3_DS_2.1.2,I4_hous_ownership,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,2241.0481520576122,0.1236381976564587
I1_sec_night,I3_no_borrow,I4_hous_toilet,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_doc_birth,,5758.002192563873,0.31766787899532517
I1_sec_rep,I3_pay_food,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,3908.1374712778943,0.2156111963497191
I1_sec_night,I3_pay_food,I4_hous_permanent,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,5154.865094009727,0.2843929206966766
I1_sec_inc,I3_DS_2.1.2,I4_hous_ownership,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,1407.6807235272172,0.07766147611457953
I1_SDG_16.1.4,I3_pay_food,I4_hous_overcrowd,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,4878.518175827575,0.26914691410793473
I1_sec_inc,I3_no_borrow,I4_hous_toilet,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,6276.431218566313,0.34626950914275595
I1_sec_inc,I3_no_borrow,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_poor32,I10_doc_birth,,6491.956413032149,0.3581599928741509
I1_SDG_16.1.4,I3_pay_food,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3900.261458412484,0.21517667822724842
I1_sec_night,I3_no_borrow,I4_hous_overcrowd,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,6181.038388357605,0.3410067049564539
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_water,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,3954.9971178893024,0.21819643408525533
I1_sec_rep,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_doc_birth,,2929.729746736862,0.16163262943479442
I1_sec_night,I3_pay_food,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,2635.852469330681,0.145419476282629
I1_SDG_16.1.4,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,5406.257225181924,0.29826217646193487
I1_sec_night,I3_pay_food,I4_hous_permanent,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3318.129346516704,0.1830605610226004
I1_SDG_16.1.4,I3_pay_food,I4_SDG_11.1.1,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,4700.52313591159,0.2593269618205213
I1_sec_night,I3_no_borrow,I4_hous_permanent,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor32,I10_doc_birth,,5755.290406332564,0.31751827026792645
I1_sec_inc,I3_no_borrow,I4_hous_overcrowd,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,6414.93252112737,0.35391059949862297
I1_sec_day,I3_pay_food,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,4527.464925797214,0.24977937348845047
I1_sec_day,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_doc_birth,,3551.176629409743,0.19591773501914087
I1_sec_day,I3_pay_food,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,6043.325028635729,0.33340908525622776
I1_sec_night,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,2811.334825479709,0.15510080428749767
I1_sec_rep,I3_no_borrow,I4_hous_water,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_econ_account,I10_doc_birth,,8925.784833134425,0.49243384102428023
I1_sec_day,I3_pay_food,I4_hous_ownership,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,2599.8840027689403,0.14343510286607516
I1_sec_inc,I3_DS_2.1.2,I4_hous_ownership,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,2706.363045276563,0.14930953126322521
I1_sec_inc,I3_no_borrow,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,4901.898409892189,0.27043679714676233
I1_SDG_16.1.4,I3_no_borrow,I4_hous_toilet,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,8083.137486858682,0.44594514819638403
I1_sec_day,I3_no_borrow,I4_hous_overcrowd,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_econ_market,I10_doc_birth,,9104.623863961573,0.5023003561287392
I1_sec_rep,I3_pay_food,I4_hous_toilet,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_doc_birth,,5228.675038970268,0.28846500123437724
I1_sec_rep,I3_pay_food,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3512.9859338246256,0.1938107616526583
I1_sec_inc,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,4489.4060566694725,0.24767967296239232
I1_sec_night,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,3001.091648789654,0.16556965191378178
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_overcrowd,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_doc_birth,,3296.50559712481,0.18186758290701013
I1_sec_day,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,2634.56078096732,0.14534821408282614
I1_sec_night,I3_DS_2.1.2,I4_hous_overcrowd,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,1895.7941581595642,0.1045906008879305
I1_sec_inc,I3_pay_food,I4_hous_ownership,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_DS_5.1.1,,3330.858778726954,0.1837628413614768
I1_sec_rep,I3_DS_2.1.2,I4_hous_toilet,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,3311.944392125389,0.18271933827251025
I1_sec_night,I3_DS_2.1.2,I4_hous_permanent,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,2735.580929132681,0.15092147632383868
I1_SDG_16.1.4,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,3596.9832123428014,0.19844487543307823
I1_sec_day,I3_DS_2.1.2,I4_hous_permanent,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_account,I10_DS_5.1.1,,3818.9927892674746,0.21069310130374388
I1_sec_rep,I3_pay_food,I4_hous_toilet,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_doc_birth,,5951.419751584434,0.32833868871017113
I1_SDG_16.1.4,I3_no_borrow,I4_hous_overcrowd,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,6855.263170572823,0.37820355715789866
I1_sec_inc,I3_DS_2.1.2,I4_hous_ownership,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,1388.444508501398,0.0766002178130385
I1_sec_inc,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_DS_5.1.1,,6822.853537507667,0.3764155239042607
I1_sec_day,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,2792.917395371066,0.1540847181931379
I1_sec_rep,I3_pay_food,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,5497.507680139514,0.30329644659840194
I1_SDG_16.1.4,I3_DS_2.1.2,I4_hous_toilet,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_poor32,I10_doc_birth,,3689.6460998534094,0.20355706920318345
I1_sec_inc,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,6366.222945512619,0.3512233015340123
I1_sec_inc,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,4101.726671860266,0.2262914754966813
I1_sec_night,I3_no_borrow,I4_SDG_11.1.1,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor32,I10_DS_5.1.1,,7100.128592877862,0.39171273564403963
I1_sec_inc,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_poor32,I10_doc_birth,,3795.322764430416,0.2093872305634608
I1_sec_night,I3_no_borrow,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,4698.334245752527,0.25920620116935633
I1_sec_inc,I3_no_borrow,I4_hous_permanent,I5_DS_2.1.8,I6_edu_dist,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,10217.652315719413,0.5637059228004546
I1_SDG_16.1.4,I3_pay_food,I4_hous_water,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_econ_account,I10_DS_5.1.1,,7153.520237563243,0.39465834246322096
I1_sec_night,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_market,I10_doc_birth,,6803.6347813608145,0.3753552288057309
I1_sec_day,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_poor32,I10_doc_birth,,3000.644216502062,0.16554496716010508
I1_sec_night,I3_no_borrow,I4_SDG_11.1.1,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_doc_birth,,5704.291421116691,0.3147046660137699
I1_sec_day,I3_DS_2.1.2,I4_hous_toilet,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_poor32,I10_doc_birth,,3665.5306877296243,0.20222662653153003
I1_sec_night,I3_pay_food,I4_hous_permanent,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,3468.0556997093927,0.19133196923528442
I1_sec_inc,I3_DS_2.1.2,I4_SDG_11.1.1,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_poor32,I10_DS_5.1.1,,3861.7824131981674,0.21305379666690738
I1_sec_inc,I3_pay_food,I4_hous_water,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,6346.522842319301,0.3501364506110495
I1_sec_rep,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_dist,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_doc_birth,,4918.978998266678,0.27137912993849406
I1_sec_rep,I3_pay_food,I4_hous_overcrowd,I5_DS_2.1.8,I6_edu_dist,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,4774.97764586216,0.26343460288536474
I1_sec_night,I3_pay_food,I4_hous_toilet,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_account,I10_doc_birth,,4016.701018839719,0.2216006264917762
I1_sec_inc,I3_no_borrow,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,9016.937701269895,0.49746272731444713
I1_sec_rep,I3_no_borrow,I4_hous_overcrowd,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_econ_account,I10_doc_birth,,7278.057557799867,0.4015290425866807
I1_sec_inc,I3_no_borrow,I4_SDG_11.1.1,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,9767.847751773035,0.5388902910912837
I1_sec_night,I3_no_borrow,I4_hous_ownership,I5_med_dist,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_market,I10_DS_5.1.1,,3661.7718873406775,0.20201925423343234
I1_sec_day,I3_pay_food,I4_hous_ownership,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_market,I10_doc_birth,,2865.5374863204725,0.1580911547127589
I1_sec_night,I3_no_borrow,I4_hous_toilet,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,5616.759141412646,0.3098755268944553
I1_sec_day,I3_no_borrow,I4_hous_ownership,I5_DS_2.1.8,I6_SDG_4.1.2,I7_job_unemploy,I8_econ_account,I10_doc_birth,,3962.0170924734407,0.2185837247395771
I1_sec_day,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_DS_5.1.1,,4406.784380354364,0.24312145089225237
I1_sec_rep,I3_DS_2.1.2,I4_SDG_11.1.1,I5_med_dist,I6_educ_child,I7_SDG_8.5.2,I8_econ_market,I10_DS_5.1.1,,4533.8992901044485,0.25013435613586976
I1_sec_day,I3_pay_food,I4_hous_permanent,I5_med_dist,I6_educ_child,I7_job_unemploy,I8_SDG_1.2.1,I10_doc_birth,,5715.310522870372,0.31531258774868104
I1_sec_day,I3_pay_food,I4_SDG_11.1.1,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_econ_account,I10_doc_birth,,5964.083324605757,0.3290373356101986
I1_sec_inc,I3_DS_2.1.2,I4_hous_permanent,I5_med_dist,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_econ_account,I10_doc_birth,,4634.328988276435,0.25567504336374836
I1_sec_inc,I3_pay_food,I4_hous_water,I5_DS_2.1.8,I6_educ_child,I7_job_unemploy,I8_poor32,I10_doc_birth,,5304.392357699741,0.292642311217876
